,path,emotion
0,data/emodb/wav/14a07Wc.wav,angry
1,data/emodb/wav/10a07Ad.wav,fear
2,data/emodb/wav/14a05Wa.wav,angry
3,data/emodb/wav/15a05Wa.wav,angry
4,data/emodb/wav/16b10Wb.wav,angry
5,data/emodb/wav/16a01Fc.wav,happy
6,data/emodb/wav/11a01Ab.wav,fear
7,data/emodb/wav/10a01Ac.wav,fear
8,data/emodb/wav/16a04Ab.wav,fear
9,data/emodb/wav/16b09Wb.wav,angry
10,data/emodb/wav/08a01Wa.wav,angry
11,data/emodb/wav/09b02Wc.wav,angry
12,data/emodb/wav/12b09Td.wav,sad
13,data/emodb/wav/10b02Aa.wav,fear
14,data/emodb/wav/16a04Tc.wav,sad
15,data/emodb/wav/13b01Wa.wav,angry
16,data/emodb/wav/12b01Wa.wav,angry
17,data/emodb/wav/12a02Wc.wav,angry
18,data/emodb/wav/16b03Ad.wav,fear
19,data/emodb/wav/13b03Wc.wav,angry
20,data/emodb/wav/11a05Td.wav,sad
21,data/emodb/wav/13a02Wa.wav,angry
22,data/emodb/wav/12a02Wa.wav,angry
23,data/emodb/wav/03b02Wb.wav,angry
24,data/emodb/wav/16b10Wa.wav,angry
25,data/emodb/wav/14a05Wb.wav,angry
26,data/emodb/wav/14b02Wd.wav,angry
27,data/emodb/wav/08a01Wc.wav,angry
28,data/emodb/wav/11a01Aa.wav,fear
29,data/emodb/wav/09a01Wb.wav,angry
30,data/emodb/wav/11b02Ab.wav,fear
31,data/emodb/wav/11a05Ad.wav,fear
32,data/emodb/wav/03a01Wa.wav,angry
33,data/emodb/wav/09a07Wd.wav,angry
34,data/emodb/wav/09a05Wb.wav,angry
35,data/emodb/wav/16b01Aa.wav,fear
36,data/emodb/wav/11a02Fb.wav,happy
37,data/emodb/wav/12b10Ac.wav,fear
38,data/emodb/wav/15b02Wa.wav,angry
39,data/emodb/wav/14b09Fc.wav,happy
40,data/emodb/wav/09b02Wd.wav,angry
41,data/emodb/wav/10a04Fd.wav,happy
42,data/emodb/wav/03a05Wa.wav,angry
43,data/emodb/wav/11a04Fd.wav,happy
44,data/emodb/wav/08b02Wd.wav,angry
45,data/emodb/wav/13b09Ab.wav,fear
46,data/emodb/wav/03a07Wc.wav,angry
47,data/emodb/wav/14a01Wc.wav,angry
48,data/emodb/wav/13a04Wc.wav,angry
49,data/emodb/wav/12a04Wc.wav,angry
50,data/emodb/wav/12b09Ac.wav,fear
51,data/emodb/wav/16a07Fb.wav,happy
52,data/emodb/wav/10a05Aa.wav,fear
53,data/emodb/wav/16a02Tc.wav,sad
54,data/emodb/wav/09a05Wc.wav,angry
55,data/emodb/wav/11b03Fc.wav,happy
56,data/emodb/wav/11a07Ac.wav,fear
57,data/emodb/wav/10b01Fa.wav,happy
58,data/emodb/wav/10a05Tb.wav,sad
59,data/emodb/wav/11b01Fc.wav,happy
60,data/emodb/wav/08a07Wc.wav,angry
61,data/emodb/wav/08b10Fd.wav,happy
62,data/emodb/wav/10a07Aa.wav,fear
63,data/emodb/wav/08a05Wa.wav,angry
64,data/emodb/wav/10a02Fa.wav,happy
65,data/emodb/wav/16b03Ta.wav,sad
66,data/emodb/wav/14b02Wb.wav,angry
67,data/emodb/wav/03a05Wb.wav,angry
68,data/emodb/wav/16b02Fd.wav,happy
69,data/emodb/wav/11b02Td.wav,sad
70,data/emodb/wav/14a01Wa.wav,angry
71,data/emodb/wav/15a01Wa.wav,angry
72,data/emodb/wav/08b09Fd.wav,happy
73,data/emodb/wav/15b09Fa.wav,happy
74,data/emodb/wav/15b02Wc.wav,angry
75,data/emodb/wav/16a07Fa.wav,happy
76,data/emodb/wav/11a07Ta.wav,sad
77,data/emodb/wav/10a07Ta.wav,sad
78,data/emodb/wav/16b01Tb.wav,sad
79,data/emodb/wav/16a05Fc.wav,happy
80,data/emodb/wav/09a07Wb.wav,angry
81,data/emodb/wav/10b01Aa.wav,fear
82,data/emodb/wav/15b10Ac.wav,fear
83,data/emodb/wav/10b03Tb.wav,sad
84,data/emodb/wav/15a02Wd.wav,angry
85,data/emodb/wav/12a01Wc.wav,angry
86,data/emodb/wav/15a04Wb.wav,angry
87,data/emodb/wav/03a02Wb.wav,angry
88,data/emodb/wav/14a04Wb.wav,angry
89,data/emodb/wav/13b02Wa.wav,angry
90,data/emodb/wav/12b02Wa.wav,angry
91,data/emodb/wav/13b09Fc.wav,happy
92,data/emodb/wav/03b01Wa.wav,angry
93,data/emodb/wav/13b09Fb.wav,happy
94,data/emodb/wav/14a04Wc.wav,angry
95,data/emodb/wav/03a02Wc.wav,angry
96,data/emodb/wav/13a01Wb.wav,angry
97,data/emodb/wav/03b03Wc.wav,angry
98,data/emodb/wav/14b09Ac.wav,fear
99,data/emodb/wav/15b09Ac.wav,fear
100,data/emodb/wav/10a02Ab.wav,fear
101,data/emodb/wav/14b10Tc.wav,sad
102,data/emodb/wav/16b01Fa.wav,happy
103,data/emodb/wav/09b01Wb.wav,angry
104,data/emodb/wav/11a02Tc.wav,sad
105,data/emodb/wav/16b03Fa.wav,happy
106,data/emodb/wav/11b01Ab.wav,fear
107,data/emodb/wav/16a05Tb.wav,sad
108,data/emodb/wav/09a02Wb.wav,angry
109,data/emodb/wav/11a05Fb.wav,happy
110,data/emodb/wav/09b03Wb.wav,angry
111,data/emodb/wav/13b10Fa.wav,happy
112,data/emodb/wav/11b02Fd.wav,happy
113,data/emodb/wav/15a04Wa.wav,angry
114,data/emodb/wav/12b02Wb.wav,angry
115,data/emodb/wav/03b01Wc.wav,angry
116,data/emodb/wav/15b09Ta.wav,sad
117,data/emodb/wav/11a05Fc.wav,happy
118,data/emodb/wav/08a02Wc.wav,angry
119,data/emodb/wav/08b01Wa.wav,angry
120,data/emodb/wav/16a05Ab.wav,fear
121,data/emodb/wav/16b03Fd.wav,happy
122,data/emodb/wav/11b03Td.wav,sad
123,data/emodb/wav/03b09Tc.wav,sad
124,data/emodb/wav/13a05Wa.wav,angry
125,data/emodb/wav/15b03Wb.wav,angry
126,data/emodb/wav/14b03Wb.wav,angry
127,data/emodb/wav/15a02Wb.wav,angry
128,data/emodb/wav/09a04Wa.wav,angry
129,data/emodb/wav/11a04Ac.wav,fear
130,data/emodb/wav/14b09Td.wav,sad
131,data/emodb/wav/03b10Ab.wav,fear
132,data/emodb/wav/16b02Aa.wav,fear
133,data/emodb/wav/16a01Tb.wav,sad
134,data/emodb/wav/10b09Wb.wav,angry
135,data/emodb/wav/13a07Wb.wav,angry
136,data/emodb/wav/14a02Wc.wav,angry
137,data/emodb/wav/03a04Wc.wav,angry
138,data/emodb/wav/14b10Ad.wav,fear
139,data/emodb/wav/16a07Td.wav,sad
140,data/emodb/wav/09b10Aa.wav,fear
141,data/emodb/wav/08b10Aa.wav,fear
142,data/emodb/wav/14b01Wc.wav,angry
143,data/emodb/wav/15b01Wc.wav,angry
144,data/emodb/wav/11b10Wa.wav,angry
